,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,D:dota_replay/Virtus.pro/20260421/,http://replay191.valve.net/570/8780527869_1620952906.dem.bz2,86.02134418487549,toDo,8780527869
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,D:dota_replay/Virtus.pro/20260421/,http://replay191.valve.net/570/8780428772_1836752976.dem.bz2,88.47058200836182,toDo,8780428772
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,D:dota_replay/Virtus.pro/20260421/,http://replay191.valve.net/570/8780342142_540879188.dem.bz2,82.63012981414795,toDo,8780342142
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,D:dota_replay/Virtus.pro/20260420/,http://replay193.valve.net/570/8779006190_1411223926.dem.bz2,90.82226371765135,toDo,8779006190
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,D:dota_replay/Virtus.pro/20260420/,http://replay191.valve.net/570/8778945001_1518693414.dem.bz2,131.80060863494873,toDo,8778945001
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,D:dota_replay/Virtus.pro/20260420/,http://replay193.valve.net/570/8778252071_230243799.dem.bz2,105.1266279220581,toDo,8778252071
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,D:dota_replay/Virtus.pro/20260420/,http://replay191.valve.net/570/8778168822_1545842367.dem.bz2,71.49171447753906,toDo,8778168822
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,D:dota_replay/Virtus.pro/20260419/,http://replay193.valve.net/570/8778074211_124631498.dem.bz2,75.74394035339355,toDo,8778074211
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,D:dota_replay/Virtus.pro/20260418/,http://replay193.valve.net/570/8776484403_335274668.dem.bz2,85.28601360321045,toDo,8776484403
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,D:dota_replay/Virtus.pro/20260418/,http://replay193.valve.net/570/8776380784_1010494329.dem.bz2,72.32851791381836,toDo,8776380784
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,D:dota_replay/Virtus.pro/20260414/,http://replay271.valve.net/570/8770616434_412280817.dem.bz2,118.25781154632568,toDo,8770616434
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,D:dota_replay/Virtus.pro/20260414/,http://replay273.valve.net/570/8770550929_1753152539.dem.bz2,78.9493293762207,toDo,8770550929
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,D:dota_replay/Virtus.pro/20260414/,http://replay272.valve.net/570/8770456297_1551696488.dem.bz2,97.4442081451416,toDo,8770456297
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,D:dota_replay/Virtus.pro/20260412/,http://replay274.valve.net/570/8768894035_1847024782.dem.bz2,99.76100254058838,toDo,8768894035
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,D:dota_replay/Virtus.pro/20260412/,http://replay273.valve.net/570/8768767328_402346388.dem.bz2,88.06328010559082,toDo,8768767328
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,D:dota_replay/Virtus.pro/20260407/,http://replay274.valve.net/570/8760877821_245810357.dem.bz2,51.20351791381836,toDo,8760877821
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,D:dota_replay/Virtus.pro/20260407/,http://replay274.valve.net/570/8760782649_1299943748.dem.bz2,64.082444190979,toDo,8760782649
