,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,D:dota_replay/Tundra Esports/20260302/,http://replay272.valve.net/570/8711885801_1915394400.dem.bz2,83.96473217010498,toDo,8711885801
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,D:dota_replay/Tundra Esports/20260301/,http://replay271.valve.net/570/8711768658_1343344225.dem.bz2,118.20941066741943,toDo,8711768658
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,D:dota_replay/Tundra Esports/20260301/,http://replay274.valve.net/570/8710481024_1541570147.dem.bz2,108.31480884552002,toDo,8710481024
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,D:dota_replay/Tundra Esports/20260301/,http://replay273.valve.net/570/8710371476_1918566681.dem.bz2,122.7221736907959,toDo,8710371476
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,D:dota_replay/Tundra Esports/20260227/,http://replay273.valve.net/570/8708443393_1957345605.dem.bz2,116.39864253997804,toDo,8708443393
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,D:dota_replay/Tundra Esports/20260227/,http://replay272.valve.net/570/8708368779_370917515.dem.bz2,85.76936912536621,toDo,8708368779
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,D:dota_replay/Tundra Esports/20260227/,http://replay272.valve.net/570/8708293887_1389369703.dem.bz2,129.3574924468994,toDo,8708293887
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,D:dota_replay/Tundra Esports/20260226/,http://replay272.valve.net/570/8707134142_1811225828.dem.bz2,107.2036066055298,toDo,8707134142
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,D:dota_replay/Tundra Esports/20260226/,http://replay272.valve.net/570/8707039268_914340814.dem.bz2,129.77031898498535,toDo,8707039268
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,D:dota_replay/Tundra Esports/20260226/,http://replay273.valve.net/570/8706982309_1266919879.dem.bz2,84.12984371185303,toDo,8706982309
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,D:dota_replay/Tundra Esports/20260226/,http://replay274.valve.net/570/8706393740_1144938002.dem.bz2,90.30072689056396,toDo,8706393740
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,D:dota_replay/Tundra Esports/20260226/,http://replay273.valve.net/570/8706315543_717434100.dem.bz2,98.8313398361206,toDo,8706315543
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,D:dota_replay/Tundra Esports/20260224/,http://replay274.valve.net/570/8704436647_1944448611.dem.bz2,103.2817611694336,toDo,8704436647
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,D:dota_replay/Tundra Esports/20260224/,http://replay274.valve.net/570/8704372110_1778323679.dem.bz2,82.82007503509521,toDo,8704372110
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,D:dota_replay/Tundra Esports/20260224/,http://replay273.valve.net/570/8703682176_509959866.dem.bz2,159.2825803756714,toDo,8703682176
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,D:dota_replay/Tundra Esports/20260224/,http://replay273.valve.net/570/8703596234_567040745.dem.bz2,78.41627788543701,toDo,8703596234
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,D:dota_replay/Tundra Esports/20260224/,http://replay274.valve.net/570/8703518862_2075612802.dem.bz2,59.97597122192383,toDo,8703518862
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,D:dota_replay/Tundra Esports/20260222/,http://replay274.valve.net/570/8701817219_46116785.dem.bz2,103.64127254486084,toDo,8701817219
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,D:dota_replay/Tundra Esports/20260222/,http://replay271.valve.net/570/8701666212_349216660.dem.bz2,123.3961820602417,toDo,8701666212
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,D:dota_replay/Tundra Esports/20260221/,http://replay272.valve.net/570/8700287136_1335134600.dem.bz2,63.92843723297119,toDo,8700287136
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,D:dota_replay/Tundra Esports/20260221/,http://replay272.valve.net/570/8700166436_1801747295.dem.bz2,93.77056312561037,toDo,8700166436
77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,D:dota_replay/Tundra Esports/20260221/,http://replay274.valve.net/570/8700062110_197871703.dem.bz2,71.62988662719727,toDo,8700062110
78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,D:dota_replay/Tundra Esports/20260220/,http://replay271.valve.net/570/8698668899_1735849567.dem.bz2,100.16139221191406,toDo,8698668899
79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,D:dota_replay/Tundra Esports/20260220/,http://replay271.valve.net/570/8698519674_1288710422.dem.bz2,139.26601123809814,toDo,8698519674
80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,D:dota_replay/Tundra Esports/20260220/,http://replay272.valve.net/570/8697750242_2074642678.dem.bz2,110.48862552642822,toDo,8697750242
81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,D:dota_replay/Tundra Esports/20260220/,http://replay273.valve.net/570/8697681037_1343712245.dem.bz2,117.5203733444214,toDo,8697681037
82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,D:dota_replay/Tundra Esports/20260219/,http://replay274.valve.net/570/8697328519_331080023.dem.bz2,65.86422824859619,toDo,8697328519
83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,D:dota_replay/Tundra Esports/20260219/,http://replay273.valve.net/570/8697256357_964331933.dem.bz2,44.01156139373779,toDo,8697256357
84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,D:dota_replay/Tundra Esports/20260219/,http://replay273.valve.net/570/8696528491_1692137598.dem.bz2,94.5541877746582,toDo,8696528491
85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,D:dota_replay/Tundra Esports/20260219/,http://replay272.valve.net/570/8696428864_375677.dem.bz2,127.4667558670044,toDo,8696428864
86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,D:dota_replay/Tundra Esports/20260218/,http://replay271.valve.net/570/8696105036_1221476345.dem.bz2,93.65409755706789,toDo,8696105036
87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,D:dota_replay/Tundra Esports/20260218/,http://replay272.valve.net/570/8696016706_1819952697.dem.bz2,108.3986291885376,toDo,8696016706
88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,D:dota_replay/Tundra Esports/20260218/,http://replay271.valve.net/570/8695336368_578152488.dem.bz2,169.765606880188,toDo,8695336368
89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,D:dota_replay/Tundra Esports/20260218/,http://replay271.valve.net/570/8695261608_496092070.dem.bz2,73.60350227355957,toDo,8695261608
90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,D:dota_replay/Tundra Esports/20260217/,http://replay272.valve.net/570/8694016846_1107623610.dem.bz2,76.2519474029541,toDo,8694016846
91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,D:dota_replay/Tundra Esports/20260217/,http://replay272.valve.net/570/8693948351_566568735.dem.bz2,55.88675594329834,toDo,8693948351
92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,D:dota_replay/Tundra Esports/20260208/,http://replay274.valve.net/570/8683127512_2093143154.dem.bz2,103.59189319610596,toDo,8683127512
93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,D:dota_replay/Tundra Esports/20260208/,http://replay274.valve.net/570/8682972538_1781324480.dem.bz2,161.17708587646484,toDo,8682972538
94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,D:dota_replay/Tundra Esports/20260206/,http://replay271.valve.net/570/8679084070_419712565.dem.bz2,117.97849178314208,toDo,8679084070
95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,D:dota_replay/Tundra Esports/20260205/,http://replay272.valve.net/570/8678737586_2136301554.dem.bz2,121.9410285949707,toDo,8678737586
96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,D:dota_replay/Tundra Esports/20260205/,http://replay271.valve.net/570/8678580370_1162921639.dem.bz2,114.23685932159424,toDo,8678580370
97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,D:dota_replay/Tundra Esports/20260205/,http://replay274.valve.net/570/8678359390_2039103900.dem.bz2,82.43624114990234,toDo,8678359390
98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,D:dota_replay/Tundra Esports/20260205/,http://replay272.valve.net/570/8677839869_1214242816.dem.bz2,98.5240592956543,toDo,8677839869
99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,D:dota_replay/Tundra Esports/20260205/,http://replay272.valve.net/570/8677589717_782277644.dem.bz2,100.0598440170288,toDo,8677589717
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,D:dota_replay/Tundra Esports/20260204/,http://replay271.valve.net/570/8677265480_1425355821.dem.bz2,99.21254634857178,toDo,8677265480
101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,D:dota_replay/Tundra Esports/20260204/,http://replay272.valve.net/570/8677045357_990586653.dem.bz2,101.68948554992676,toDo,8677045357
102,102.0,102.0,102.0,102.0,102.0,102.0,102.0,D:dota_replay/Tundra Esports/20260204/,http://replay273.valve.net/570/8676333293_1624960184.dem.bz2,110.47807121276855,toDo,8676333293
103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,D:dota_replay/Tundra Esports/20260203/,http://replay272.valve.net/570/8676043517_1514762722.dem.bz2,100.66949653625488,toDo,8676043517
104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,D:dota_replay/Tundra Esports/20260203/,http://replay274.valve.net/570/8675768384_1114772411.dem.bz2,139.62280464172363,toDo,8675768384
105,105.0,105.0,105.0,,,,,D:dota_replay/Tundra Esports/20260509/,http://replay274.valve.net/570/8803798979_1529042335.dem.bz2,50.90810489654541,toDo,8803798979
106,106.0,106.0,106.0,,,,,D:dota_replay/Tundra Esports/20260509/,http://replay274.valve.net/570/8803706352_532742649.dem.bz2,104.39055728912354,toDo,8803706352
107,107.0,107.0,107.0,,,,,D:dota_replay/Tundra Esports/20260509/,http://replay273.valve.net/570/8802982182_348055320.dem.bz2,79.08387470245361,toDo,8802982182
108,108.0,108.0,108.0,,,,,D:dota_replay/Tundra Esports/20260509/,http://replay274.valve.net/570/8802892505_120459280.dem.bz2,68.4081563949585,toDo,8802892505
109,109.0,109.0,109.0,,,,,D:dota_replay/Tundra Esports/20260508/,http://replay271.valve.net/570/8802755227_1034956934.dem.bz2,92.16678142547607,toDo,8802755227
110,,,,,,,,dota_replay/Tundra Esports/20260514/,http://replay274.valve.net/570/8809600367_332929692.dem.bz2,118.61224460601807,toDo,8809600367
111,,,,,,,,dota_replay/Tundra Esports/20260513/,http://replay274.valve.net/570/8809504168_777574777.dem.bz2,117.29790210723877,toDo,8809504168
112,,,,,,,,dota_replay/Tundra Esports/20260513/,http://replay272.valve.net/570/8809412954_583302476.dem.bz2,91.9035415649414,toDo,8809412954
