,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,D:dota_replay/PARIVISION/20260223/,http://replay272.valve.net/570/8703354577_1826353795.dem.bz2,73.65805912017822,toDo,8703354577
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,D:dota_replay/PARIVISION/20260223/,http://replay273.valve.net/570/8703243107_1478936252.dem.bz2,82.61280155181885,toDo,8703243107
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,D:dota_replay/PARIVISION/20260222/,http://replay274.valve.net/570/8701817219_46116785.dem.bz2,103.64127254486084,toDo,8701817219
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,D:dota_replay/PARIVISION/20260222/,http://replay271.valve.net/570/8701666212_349216660.dem.bz2,123.3961820602417,toDo,8701666212
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,D:dota_replay/PARIVISION/20260222/,http://replay273.valve.net/570/8700519354_256609853.dem.bz2,104.3244333267212,toDo,8700519354
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,D:dota_replay/PARIVISION/20260222/,http://replay274.valve.net/570/8700405044_1691657578.dem.bz2,103.24314403533936,toDo,8700405044
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,D:dota_replay/PARIVISION/20260220/,http://replay274.valve.net/570/8698428156_1381271442.dem.bz2,44.74134159088135,toDo,8698428156
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,D:dota_replay/PARIVISION/20260220/,http://replay274.valve.net/570/8698367627_1496341864.dem.bz2,43.726301193237305,toDo,8698367627
77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,D:dota_replay/PARIVISION/20260220/,http://replay274.valve.net/570/8697576851_551396498.dem.bz2,119.6432809829712,toDo,8697576851
78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,D:dota_replay/PARIVISION/20260220/,http://replay272.valve.net/570/8697483686_1277732764.dem.bz2,110.46696186065674,toDo,8697483686
79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,D:dota_replay/PARIVISION/20260219/,http://replay272.valve.net/570/8697154213_84895507.dem.bz2,94.89259433746338,toDo,8697154213
80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,D:dota_replay/PARIVISION/20260219/,http://replay272.valve.net/570/8697090294_778590204.dem.bz2,74.21468544006348,toDo,8697090294
81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,D:dota_replay/PARIVISION/20260219/,http://replay271.valve.net/570/8696315160_1636166722.dem.bz2,109.23061752319336,toDo,8696315160
82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,D:dota_replay/PARIVISION/20260219/,http://replay272.valve.net/570/8696218051_1165331336.dem.bz2,99.29262828826904,toDo,8696218051
83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,D:dota_replay/PARIVISION/20260218/,http://replay273.valve.net/570/8695931537_1976991572.dem.bz2,106.2557249069214,toDo,8695931537
84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,D:dota_replay/PARIVISION/20260218/,http://replay272.valve.net/570/8695864051_182965296.dem.bz2,105.0327091217041,toDo,8695864051
85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,D:dota_replay/PARIVISION/20260218/,http://replay272.valve.net/570/8695145808_1024646009.dem.bz2,128.42246532440186,toDo,8695145808
86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,D:dota_replay/PARIVISION/20260218/,http://replay273.valve.net/570/8695029034_2058702257.dem.bz2,179.19851112365723,toDo,8695029034
87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,D:dota_replay/PARIVISION/20260216/,http://replay274.valve.net/570/8693417171_1995734693.dem.bz2,89.6504020690918,toDo,8693417171
88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,D:dota_replay/PARIVISION/20260216/,http://replay271.valve.net/570/8693354840_1765813862.dem.bz2,94.1777410507202,toDo,8693354840
89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,,D:dota_replay/PARIVISION/20260425/,http://replay192.valve.net/570/8785317017_41151058.dem.bz2,130.9265832901001,toDo,8785317017
90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,D:dota_replay/PARIVISION/20260425/,http://replay191.valve.net/570/8785243904_559081999.dem.bz2,144.1299705505371,toDo,8785243904
91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,,D:dota_replay/PARIVISION/20260424/,http://replay191.valve.net/570/8784373796_587262853.dem.bz2,161.24171257019043,toDo,8784373796
92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,,D:dota_replay/PARIVISION/20260424/,http://replay193.valve.net/570/8784255815_150287688.dem.bz2,133.66403102874756,toDo,8784255815
93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,,D:dota_replay/PARIVISION/20260424/,http://replay193.valve.net/570/8784176993_1793287243.dem.bz2,84.39549922943115,toDo,8784176993
94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,,D:dota_replay/PARIVISION/20260423/,http://replay193.valve.net/570/8782625329_372764944.dem.bz2,107.25704383850098,toDo,8782625329
95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,D:dota_replay/PARIVISION/20260423/,http://replay192.valve.net/570/8782581053_487584968.dem.bz2,122.20526790618896,toDo,8782581053
96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,,D:dota_replay/PARIVISION/20260423/,http://replay192.valve.net/570/8782527726_1011668282.dem.bz2,136.93415451049805,toDo,8782527726
