,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,D:dota_replay/Yellow Submarine/20260320/,http://replay273.valve.net/570/8736399153_1330585647.dem.bz2,74.198486328125,toDo,8736399153
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,D:dota_replay/Yellow Submarine/20260320/,http://replay271.valve.net/570/8736339285_1964840470.dem.bz2,48.01491069793701,toDo,8736339285
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,D:dota_replay/Yellow Submarine/20260318/,http://replay274.valve.net/570/8734170338_1676346374.dem.bz2,41.362244606018066,toDo,8734170338
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,D:dota_replay/Yellow Submarine/20260318/,http://replay273.valve.net/570/8734082075_512905500.dem.bz2,48.81754493713379,toDo,8734082075
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,D:dota_replay/Yellow Submarine/20260317/,http://replay271.valve.net/570/8731906608_1788643539.dem.bz2,75.45265579223633,toDo,8731906608
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,D:dota_replay/Yellow Submarine/20260317/,http://replay273.valve.net/570/8731836208_662008600.dem.bz2,55.874667167663574,toDo,8731836208
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,D:dota_replay/Yellow Submarine/20260317/,http://replay273.valve.net/570/8731756504_1465719799.dem.bz2,44.21089267730713,toDo,8731756504
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,D:dota_replay/Yellow Submarine/20260310/,http://replay191.valve.net/570/8723242140_5594446.dem.bz2,81.94324207305908,toDo,8723242140
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,D:dota_replay/Yellow Submarine/20260310/,http://replay191.valve.net/570/8723196697_38694795.dem.bz2,110.37835121154784,toDo,8723196697
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,D:dota_replay/Yellow Submarine/20260309/,http://replay191.valve.net/570/8722413679_1023524353.dem.bz2,140.6979160308838,toDo,8722413679
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,D:dota_replay/Yellow Submarine/20260309/,http://replay191.valve.net/570/8722308255_1577171486.dem.bz2,129.13973999023438,toDo,8722308255
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,D:dota_replay/Yellow Submarine/20260309/,http://replay193.valve.net/570/8721178344_19865177.dem.bz2,155.35153484344482,toDo,8721178344
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,D:dota_replay/Yellow Submarine/20260308/,http://replay193.valve.net/570/8721082163_1028642176.dem.bz2,118.53432369232178,toDo,8721082163
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,D:dota_replay/Yellow Submarine/20260307/,http://replay192.valve.net/570/8719115659_2086805634.dem.bz2,155.9911127090454,toDo,8719115659
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,D:dota_replay/Yellow Submarine/20260307/,http://replay193.valve.net/570/8719042141_1637951864.dem.bz2,116.09654998779295,toDo,8719042141
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,D:dota_replay/Yellow Submarine/20260301/,http://replay274.valve.net/570/8710502861_229817804.dem.bz2,53.88563251495361,toDo,8710502861
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,D:dota_replay/Yellow Submarine/20260301/,http://replay272.valve.net/570/8710356466_431836998.dem.bz2,95.50772953033449,toDo,8710356466
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,D:dota_replay/Yellow Submarine/20260301/,http://replay274.valve.net/570/8710229889_384258219.dem.bz2,84.25647354125977,toDo,8710229889
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,D:dota_replay/Yellow Submarine/20260228/,http://replay273.valve.net/570/8708932486_418214429.dem.bz2,53.56548881530762,toDo,8708932486
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,D:dota_replay/Yellow Submarine/20260228/,http://replay274.valve.net/570/8708852535_135262862.dem.bz2,54.80769062042236,toDo,8708852535
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,D:dota_replay/Yellow Submarine/20260228/,http://replay274.valve.net/570/8708733981_1332184040.dem.bz2,64.04758167266846,toDo,8708733981
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,D:dota_replay/Yellow Submarine/20260227/,http://replay273.valve.net/570/8708593334_980895913.dem.bz2,40.988616943359375,toDo,8708593334
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,D:dota_replay/Yellow Submarine/20260227/,http://replay273.valve.net/570/8708477191_1556227234.dem.bz2,58.93378448486328,toDo,8708477191
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,D:dota_replay/Yellow Submarine/20260227/,http://replay273.valve.net/570/8707525376_1364005447.dem.bz2,49.59673881530762,toDo,8707525376
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,D:dota_replay/Yellow Submarine/20260227/,http://replay273.valve.net/570/8707440412_916601684.dem.bz2,40.739749908447266,toDo,8707440412
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,D:dota_replay/Yellow Submarine/20260226/,http://replay272.valve.net/570/8706360526_971189470.dem.bz2,68.90558433532715,toDo,8706360526
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,D:dota_replay/Yellow Submarine/20260226/,http://replay272.valve.net/570/8706289761_1857466446.dem.bz2,65.33182144165039,toDo,8706289761
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,D:dota_replay/Yellow Submarine/20260226/,http://replay273.valve.net/570/8706211677_510974961.dem.bz2,48.87524127960205,toDo,8706211677
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,D:dota_replay/Yellow Submarine/20260223/,http://replay273.valve.net/570/8703333995_1651610559.dem.bz2,55.80173206329346,toDo,8703333995
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,D:dota_replay/Yellow Submarine/20260223/,http://replay271.valve.net/570/8703199583_66707746.dem.bz2,64.46030139923096,toDo,8703199583
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,D:dota_replay/Yellow Submarine/20260222/,http://replay273.valve.net/570/8700448186_396072109.dem.bz2,40.32933807373047,toDo,8700448186
