,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,D:dota_replay/MOUZ/20260409/,http://replay273.valve.net/570/8763493227_1556947213.dem.bz2,66.39831829071045,toDo,8763493227
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,D:dota_replay/MOUZ/20260409/,http://replay271.valve.net/570/8763405558_655185687.dem.bz2,60.474138259887695,toDo,8763405558
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,D:dota_replay/MOUZ/20260402/,http://replay273.valve.net/570/8754352117_129600140.dem.bz2,97.16450214385986,toDo,8754352117
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,D:dota_replay/MOUZ/20260402/,http://replay272.valve.net/570/8754248527_1235708052.dem.bz2,91.92292976379396,toDo,8754248527
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,D:dota_replay/MOUZ/20260327/,http://replay273.valve.net/570/8746052384_1715544549.dem.bz2,141.64005088806152,toDo,8746052384
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,D:dota_replay/MOUZ/20260327/,http://replay273.valve.net/570/8745947296_17503388.dem.bz2,117.4721622467041,toDo,8745947296
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,D:dota_replay/MOUZ/20260327/,http://replay273.valve.net/570/8745834843_691365539.dem.bz2,104.17326545715332,toDo,8745834843
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,D:dota_replay/MOUZ/20260325/,http://replay273.valve.net/570/8743239684_853525564.dem.bz2,92.59335041046144,toDo,8743239684
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,D:dota_replay/MOUZ/20260325/,http://replay273.valve.net/570/8743150101_518614584.dem.bz2,94.65962314605711,toDo,8743150101
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,D:dota_replay/MOUZ/20260324/,http://replay274.valve.net/570/8742136025_1516875954.dem.bz2,106.09569549560548,toDo,8742136025
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,D:dota_replay/MOUZ/20260324/,http://replay271.valve.net/570/8742051677_2081027427.dem.bz2,86.73953247070312,toDo,8742051677
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,D:dota_replay/MOUZ/20260324/,http://replay274.valve.net/570/8741931257_1508266434.dem.bz2,126.62060642242432,toDo,8741931257
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,D:dota_replay/MOUZ/20260324/,http://replay271.valve.net/570/8741845660_990375914.dem.bz2,105.04763317108154,toDo,8741845660
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,D:dota_replay/MOUZ/20260324/,http://replay272.valve.net/570/8740958775_1340719346.dem.bz2,132.73688316345215,toDo,8740958775
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,D:dota_replay/MOUZ/20260323/,http://replay272.valve.net/570/8740873838_1903235038.dem.bz2,102.1746654510498,toDo,8740873838
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,D:dota_replay/MOUZ/20260323/,http://replay271.valve.net/570/8740715038_1323658429.dem.bz2,123.93014907836914,toDo,8740715038
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,D:dota_replay/MOUZ/20260323/,http://replay271.valve.net/570/8740634750_211093134.dem.bz2,104.0657444000244,toDo,8740634750
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,D:dota_replay/MOUZ/20260323/,http://replay273.valve.net/570/8739710260_78209944.dem.bz2,45.34778118133545,toDo,8739710260
